Formulation,Ionizable_Lipid_Mol_Ratio,Phospholipid_Mol_Ratio,Cholesterol_Mol_Ratio,PEG_Lipid_Mol_Ratio,Helper_lipid_ID,Ionizable_Lipid_to_mRNA_weight_ratio,Dose/Cells
Liu_iphos,25,30,30,1,MDOA,12.43607231,62.18036155
Liu_iphos,25,30,30,1,MDOA,12.93384878,64.6692439
Liu_iphos,25,30,30,1,MDOA,13.43162525,67.15812625
Liu_iphos,25,30,30,1,MDOA,13.92940172,69.64700859999999
Liu_iphos,25,30,30,1,MDOA,14.42717819,72.13589095
Liu_iphos,25,30,30,1,MDOA,14.92495466,74.6247733
Liu_iphos,25,30,30,1,MDOA,15.42273113,77.11365565
Liu_iphos,25,30,30,1,MDOA,15.9205076,79.60253800000001
Liu_iphos,25,30,30,1,MDOA,9.698301719,48.491508595
Liu_iphos,25,30,30,1,MDOA,10.19607819,50.98039095
Liu_iphos,25,30,30,1,MDOA,10.69385466,53.4692733
Liu_iphos,25,30,30,1,MDOA,11.19163113,55.958155649999995
Liu_iphos,25,30,30,1,MDOA,11.6894076,58.44703799999999
Liu_iphos,25,30,30,1,MDOA,12.18718407,60.93592035
Liu_iphos,25,30,30,1,MDOA,12.68496054,63.4248027
Liu_iphos,25,30,30,1,MDOA,13.18273701,65.91368505
Liu_iphos,25,30,30,1,MDOA,13.68051348,68.4025674
Liu_iphos,25,30,30,1,MDOA,14.17828995,70.89144974999999
Liu_iphos,25,30,30,1,MDOA,14.67606642,73.3803321
Liu_iphos,25,30,30,1,MDOA,15.17384289,75.86921445
Liu_iphos,25,30,30,1,MDOA,15.67161936,78.3580968
Liu_iphos,25,30,30,1,MDOA,8.951637014,44.758185069999996
Liu_iphos,25,30,30,1,MDOA,9.449413484,47.24706742000001
Liu_iphos,25,30,30,1,MDOA,9.947189954,49.735949770000005
Liu_iphos,25,30,30,1,MDOA,10.44496642,52.2248321
Liu_iphos,25,30,30,1,MDOA,10.94274289,54.71371445
Liu_iphos,25,30,30,1,MDOA,11.44051936,57.202596799999995
Liu_iphos,25,30,30,1,MDOA,11.93829584,59.6914792
Liu_iphos,25,30,30,1,MDOA,12.43607231,62.18036155
Liu_iphos,25,30,30,1,MDOA,12.93384878,64.6692439
Liu_iphos,25,30,30,1,MDOA,13.43162525,67.15812625
Liu_iphos,25,30,30,1,MDOA,13.92940172,69.64700859999999
Liu_iphos,25,30,30,1,MDOA,14.42717819,72.13589095
Liu_iphos,25,30,30,1,MDOA,14.92495466,74.6247733
Liu_iphos,25,30,30,1,MDOA,9.715832308,48.57916154
Liu_iphos,25,30,30,1,MDOA,10.21360878,51.0680439
Liu_iphos,25,30,30,1,MDOA,10.71138525,53.55692625
Liu_iphos,25,30,30,1,MDOA,11.20916172,56.0458086
Liu_iphos,25,30,30,1,MDOA,11.70693819,58.534690950000005
Liu_iphos,25,30,30,1,MDOA,12.20471466,61.0235733
Liu_iphos,25,30,30,1,MDOA,12.70249113,63.51245565
Liu_iphos,25,30,30,1,MDOA,13.2002676,66.001338
Liu_iphos,25,30,30,1,MDOA,13.69804407,68.49022035
Liu_iphos,25,30,30,1,MDOA,14.19582054,70.9791027
Liu_iphos,25,30,30,1,MDOA,14.69359701,73.46798505
Liu_iphos,25,30,30,1,MDOA,15.19137348,75.9568674
Liu_iphos,25,30,30,1,MDOA,15.68914995,78.44574974999999
Liu_iphos,25,30,30,1,MDOA,11.82787796,59.139389800000004
Liu_iphos,25,30,30,1,MDOA,12.57454267,62.87271335
Liu_iphos,25,30,30,1,MDOA,13.32120737,66.60603685
Liu_iphos,25,30,30,1,MDOA,14.06787208,70.3393604
Liu_iphos,25,30,30,1,MDOA,14.81453678,74.0726839
Liu_iphos,25,30,30,1,MDOA,15.56120149,77.80600745
Liu_iphos,25,30,30,1,MDOA,16.3078662,81.539331
Liu_iphos,25,30,30,1,MDOA,17.0545309,85.2726545
Liu_iphos,25,30,30,1,MDOA,17.80119561,89.00597805000001
Liu_iphos,25,30,30,1,MDOA,18.54786031,92.73930155000001
Liu_iphos,25,30,30,1,MDOA,19.29452502,96.47262509999999
Liu_iphos,25,30,30,1,MDOA,20.04118972,100.2059486
Liu_iphos,25,30,30,1,MDOA,20.78785443,103.93927215
Liu_iphos,25,30,30,1,MDOA,12.36142535,61.807126749999995
Liu_iphos,25,30,30,1,MDOA,13.10809006,65.5404503
Liu_iphos,25,30,30,1,MDOA,13.85475476,69.2737738
Liu_iphos,25,30,30,1,MDOA,14.60141947,73.00709735
Liu_iphos,25,30,30,1,MDOA,15.34808417,76.74042084999999
Liu_iphos,25,30,30,1,MDOA,16.09474888,80.4737444
Liu_iphos,25,30,30,1,MDOA,16.84141358,84.2070679
Liu_iphos,25,30,30,1,MDOA,17.58807829,87.94039144999999
Liu_iphos,25,30,30,1,MDOA,18.334743,91.673715
Liu_iphos,25,30,30,1,MDOA,19.0814077,95.4070385
Liu_iphos,25,30,30,1,MDOA,19.82807241,99.14036205000001
Liu_iphos,25,30,30,1,MDOA,20.57473711,102.87368555
Liu_iphos,25,30,30,1,MDOA,21.32140182,106.6070091
Liu_iphos,25,30,30,1,MDOA,12.11253712,60.5626856
Liu_iphos,25,30,30,1,MDOA,12.85920182,64.29600909999999
Liu_iphos,25,30,30,1,MDOA,13.60586653,68.02933265
Liu_iphos,25,30,30,1,MDOA,14.35253123,71.76265615
Liu_iphos,25,30,30,1,MDOA,15.09919594,75.49597969999999
Liu_iphos,25,30,30,1,MDOA,15.84586064,79.2293032
