Ionizable_Lipid_Mol_Ratio,Phospholipid_Mol_Ratio,Cholesterol_Mol_Ratio,PEG_Lipid_Mol_Ratio,Ionizable_Lipid_to_mRNA_weight_ratio,Lipid/Cells,Num_tails,Num_carbon_in_tail,MolWt,Helper_lipid_ID_DOPE,Helper_lipid_ID_DSPC,Helper_lipid_ID_MDOA,Cargo_type_mRNA,Cargo_type_siRNA,Model_type_A549,Model_type_HeLa,Model_type_HepG2,Model_type_IGROV1,Model_type_MDA_MB
25.0,30.0,30.0,1.0,10.44949102,3.974950011898186,3.0,6.0,6.514844534032691,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
25.0,30.0,30.0,1.0,11.19615573,4.042713994297558,3.0,11.0,6.5354096167846585,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
25.0,30.0,30.0,1.0,13.16520642,4.202092706724269,2.0,12.0,6.613369453169883,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
25.0,30.0,30.0,1.0,16.3078662,4.413274919130455,3.0,10.0,6.8277516538782,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
23.80952381,23.80952381,47.61904762,4.761904762,13.25926179,3.5307085428288203,3.0,6.0,6.927989185812946,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
25.0,30.0,30.0,1.0,15.88092182,4.387071501656212,3.0,8.0,6.801339762562217,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
27.18006396963201,20.78763440860215,40.0,1.85592,10.0,3.4339872044851463,4.0,12.0,6.815016989031932,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
35.0,16.0,46.5,2.5,10.0,3.044522437723423,2.0,6.0,6.197927751730966,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
46.3,9.4,42.7,1.6,29.93623339533402,5.482677956278481,6.0,12.0,7.493789854315812,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
35.0,16.0,46.5,2.5,10.0,3.044522437723423,2.0,6.0,6.108465054446708,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
6.5,1.0,26.6,24.2,7.836969696969701,3.300390641930007,8.0,12.0,7.684051721490662,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
25.0,30.0,30.0,1.0,15.3084984,4.350826069977586,4.0,4.0,6.765958968683097,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
35.0,16.0,46.5,2.5,10.0,3.044522437723423,3.0,7.0,6.556866420462086,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
25.0,30.0,30.0,1.0,15.19625295,4.343562077312738,4.0,15.0,6.755126107740088,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
46.3,9.4,42.7,1.6,32.44261263975222,5.562759858918606,8.0,18.0,7.860438111870954,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
25.0,30.0,30.0,1.0,15.68914995,4.3750743956423905,2.0,16.0,6.788109885212942,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
17.3,12.5,24.2,1.0,10.0,3.4339872044851463,2.0,9.0,6.703562276361945,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
15.0,15.0,30.0,3.0,20.0,3.9318256327243257,9.0,10.0,7.872397221556887,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
25.0,30.0,30.0,1.0,6.467279258,3.5066497817984734,2.0,12.0,5.903984878668844,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
